Name,ADDRESS,location,,
PECO FILTERS,1351 HASTINGS CR SE,"(51.0124090215602, -114.032578555394)",,
MORE CONVENIENCE STORE,11201 30 ST SW,"(50.9534492575157, -114.130062103058)",,
RAJ FOODS (THE),#17 2015 32 AV NE,"(51.0805090794563, -114.010274803475)",,
ENDLESS BEAUTY SALON,#107 5403 CROWCHILD TR NW,"(51.1037658647781, -114.165326188021)",,
FITNESS GROUP CANADA,#12 2015 32 AV NE,"(51.0805090794563, -114.010274803475)",,
SMASHBURGER #1198,#319 8888 COUNTRY HILLS BV NW,"(51.1519932596985, -114.21489442)",,
CANYON MEADOWS COMMUNITY,844 CANTABRIAN DR SW,"(50.9463701556439, -114.079027367365)",,
COOLVAPE,#5 2015 32 AV NE,"(51.0805090794563, -114.010274803475)",,
CUBEX,9304 HORTON RD SW,"(50.9712947174267, -114.075267980215)",,
SQUARE1 FITNESS,#100L 822 11 AV SW,"(51.0430809134074, -114.080252561261)",,
SIMPLICIT HOME DESIGN CENTRE,#8 2015 32 AV NE,"(51.0805090794563, -114.010274803475)",,
WESTECK WINDOWS AND DOORS,#4 2015 32 AV NE,"(51.0805090794563, -114.010274803475)",,
ALOFT CALGARY UNIVERSITY,2359 BANFF TR NW,"(51.0690509102962, -114.115260362928)",,
TIM HORTON DONUTS,1211 12 AV SW,"(51.0417896291884, -114.089418690792)",,
PLANET ORGANIC MARKET,#6112 8650 112 AV NW,"(51.1529438273982, -114.211317136396)",,
GARNISH + GRACE,3512 5 AV NW,"(51.0604661119765, -114.136801792919)",,
JOEY'S URBAN - URBAN DECK (CGY-616),3048 9 ST SE,"(51.0273446243013, -114.038238399479)",,
LICENSING COMPANY,#123 205 5 AV SW,"(51.0481764615304, -114.065942038004)",,
SPORT CYCLE,#10 3915 EDMONTON TR NE,"(51.0873821346142, -114.052309600109)",,
ACTIVE SPORTS THERAPY MANAGEMENT,#220 9950 MACLEOD TR SE,"(50.9614921967046, -114.06936068662)",,
AN TATTOO,#110A 2640 52 ST NE,"(51.0756537498291, -113.956056055192)",,
LEGACY KITCHENS,2980 SUNRIDGE WY NE,"(51.0700487279341, -113.994180893351)",,
MATTRESSES R US,#10 2015 32 AV NE,"(51.0805090794563, -114.010274803475)",,
CHARLESGLEN TOYOTA,7687 110 AV NW,"(51.1524584280365, -114.193747670701)",,
FRESH TASTE CORNER,#106 3115 12 ST NE,"(51.0799875643715, -114.027751032186)",,
BOYD AUTOBODY & GLASS,3520 32 ST NE,"(51.0844203640943, -113.987836273501)",,
SAFEWAY #263,1818 CENTRE ST NE,"(51.0683336012175, -114.06097247567)",,
CALGARY LASER HEALTH & BEAUTY CENTRE,#112 108 3 AV SW,"(51.0506001125596, -114.063245053101)",,
RONA #66550 HC CALGARY WEST,300 STEWART GR SW,"(51.014524992739, -114.167675447265)",,
CENTRAL GRAND COURT,1623 CENTRE ST NW,"(51.0664575810187, -114.063494250747)",,
MATTRESSES R US,#10 2015 32 AV NE,"(51.0805090794563, -114.010274803475)",,
MAC'S CONVENIENCE STORE,1207 12 AV SW,"(51.0417896291884, -114.089418690792)",,
ORIGINAL JOE'S RESTAURANT & BAR,#205 971 64 AV NE,"(51.1101373116632, -114.040459372966)",,
CACTUS CLUB CAFE,2612 39 AV NE,"(51.0895647089991, -114.000716564657)",,
MAC'S CONVENIENCE STORE,1207 12 AV SW,"(51.0417896291884, -114.089418690792)",,
SECTOR 17 FOOD TRUCK,407 PINEMONT GA NE,"(51.0701273304765, -113.957734080357)",,
