TRADENAME,ADDRESS,LICENCETYPES,COMDISTNM,JOBSTATUSDESC,JOBCREATED,longitude,latitude,location,Count,,
JOEY'S URBAN - URBAN DECK (CGY-616),3048 9 ST SE,FOOD SERVICE - NO PREMISES,HIGHFIELD,RENEWAL LICENSED,06/19/2014 12:00:00 AM,-114.038238399479,51.0273446243013,"(51.0273446243013, -114.038238399479)",1,,
TOP DOGS MOBILE CATERING (CGY-308),412 28 ST NE,FOOD SERVICE - NO PREMISES,FRANKLIN,RENEWAL LICENSED,06/07/2012 12:00:00 AM,-113.992080619994,51.0551133119466,"(51.0551133119466, -113.992080619994)",1,,
CURRY BOULEVARD & SWEETS (CGY-1053),#123 55 WESTWINDS CR NE,FOOD SERVICE - NO PREMISES,WESTWINDS,LICENSED,05/01/2017 12:00:00 AM,-113.969200219324,51.1071310587393,"(51.1071310587393, -113.969200219324)",1,,
FIASCO GELATO (CGY-719),#20A 416 MERIDIAN RD SE,FOOD SERVICE - NO PREMISES,MERIDIAN,RENEWAL LICENSED,05/29/2015 12:00:00 AM,-114.000056437358,51.0501894696336,"(51.0501894696336, -114.000056437358)",1,,
FRESH IN THE CITY,#3 3715 61 AV SE,FOOD SERVICE - NO PREMISES,FOOTHILLS,LICENSED,09/27/2016 12:00:00 AM,-113.979698490308,50.9986293232055,"(50.9986293232055, -113.979698490308)",1,,
RICKY DOGS (CGY-898),#4 920 NORTHMOUNT DR NW,FOOD SERVICE - NO PREMISES,COLLINGWOOD,LICENSED,01/04/2017 12:00:00 AM,-114.103646358556,51.0866979764966,"(51.0866979764966, -114.103646358556)",1,,
PIE JUNKIE MOBILE (CGY-1118),8 SPRUCE CE SW,FOOD SERVICE - NO PREMISES,SPRUCE CLIFF,LICENSED,05/03/2017 12:00:00 AM,-114.136414167456,51.0482019139628,"(51.0482019139628, -114.136414167456)",1,,
CRAVE,1107 KENSINGTON RD NW,FOOD SERVICE - NO PREMISES,HILLHURST,RENEWAL LICENSED,04/30/2014 12:00:00 AM,-114.086610232089,51.0521407799123,"(51.0521407799123, -114.086610232089)",1,,
TOP DOGS MOBILE CATERING (CGY-309),412 28 ST NE,FOOD SERVICE - NO PREMISES,FRANKLIN,RENEWAL LICENSED,06/05/2012 12:00:00 AM,-113.992080619994,51.0551133119466,"(51.0551133119466, -113.992080619994)",1,,
HR LITTLE KITCHEN (CGY-099),#5 3715 61 AV SE,FOOD SERVICE - NO PREMISES,FOOTHILLS,LICENSED,10/26/2016 12:00:00 AM,-113.979698490308,50.9986293232055,"(50.9986293232055, -113.979698490308)",1,,
MARCHING GHOSTS TRAILER (CGY-593),111 HADDON RD SW,FOOD SERVICE - NO PREMISES,HAYSBORO,RENEWAL LICENSED,05/30/2016 12:00:00 AM,-114.078680945498,50.9754181547621,"(50.9754181547621, -114.078680945498)",1,,
JOLLY GOOD CANDY STOP MOBILE (CGY-674),24 HIGH ST SE,FOOD SERVICE - NO PREMISES,MCKENZIE TOWNE,EXPIRED,06/09/2015 12:00:00 AM,-113.959999283393,50.915806868914,"(50.915806868914, -113.959999283393)",1,,
ERNIE'S MOBILE BARBECUE & CATERING (CGY-416),#1122 4316 64 AV SE,FOOD SERVICE - NO PREMISES,FOOTHILLS,EXPIRED,09/30/2014 12:00:00 AM,-113.973380803974,50.9969415864042,"(50.9969415864042, -113.973380803974)",1,,
MINI MELTS ALBERTA,#1 1313 44 AV NE,FOOD SERVICE - NO PREMISES,MCCALL,RENEWAL LICENSED,04/05/2011 12:00:00 AM,-114.031295902914,51.091375693784,"(51.091375693784, -114.031295902914)",1,,
SPUD,#3 3200 14 AV NE,FOOD SERVICE - NO PREMISES,FRANKLIN,RENEWAL LICENSED,10/26/2010 12:00:00 AM,-113.988122712025,51.0658189755531,"(51.0658189755531, -113.988122712025)",1,,
EMPANADA QUEEN,#4 4412 MANILLA RD SE,FOOD SERVICE - NO PREMISES,MANCHESTER INDUSTRIAL,RENEWAL LICENSED,06/09/2016 12:00:00 AM,-114.052352751155,51.0139724950171,"(51.0139724950171, -114.052352751155)",1,,
JENSEN TABER CORN,#215 5718 1A ST SW,FOOD SERVICE - NO PREMISES,MANCHESTER,RENEWAL LICENSED,08/18/2015 12:00:00 AM,-114.066404857241,51.003499736646,"(51.003499736646, -114.066404857241)",1,,
BIKANER SWEETHOUSE & RESTAURANT,#105 4851 WESTWINDS DR NE,FOOD SERVICE - NO PREMISES,WESTWINDS,LICENSED,03/07/2017 12:00:00 AM,-113.963128968957,51.1002824461815,"(51.1002824461815, -113.963128968957)",1,,
FAMILY FREEZED (CGY-839),620 SCIMITAR BA NW,FOOD SERVICE - NO PREMISES,SCENIC ACRES,RENEWAL INVOICED,06/24/2015 12:00:00 AM,-114.212967507605,51.1079761040812,"(51.1079761040812, -114.212967507605)",1,,
JENSEN TABER CORN,#215 5718 1A ST SW,FOOD SERVICE - NO PREMISES,MANCHESTER,RENEWAL LICENSED,08/04/2015 12:00:00 AM,-114.066404857241,51.003499736646,"(51.003499736646, -114.066404857241)",1,,
JENSEN TABER CORN,#215 5718 1A ST SW,FOOD SERVICE - NO PREMISES,MANCHESTER,RENEWAL LICENSED,08/10/2011 12:00:00 AM,-114.066404857241,51.003499736646,"(51.003499736646, -114.066404857241)",1,,
JENSEN TABER CORN,#215 5718 1A ST SW,FOOD SERVICE - NO PREMISES,MANCHESTER,RENEWAL LICENSED,08/10/2011 12:00:00 AM,-114.066404857241,51.003499736646,"(51.003499736646, -114.066404857241)",1,,
JENSEN TABER CORN,#215 5718 1A ST SW,FOOD SERVICE - NO PREMISES,MANCHESTER,RENEWAL LICENSED,08/10/2011 12:00:00 AM,-114.066404857241,51.003499736646,"(51.003499736646, -114.066404857241)",1,,
SEASONS OF BOWNESS PARK ICE CREAM,6519 BOWNESS RD NW,FOOD SERVICE - NO PREMISES,BOWNESS,RENEWAL LICENSED,07/17/2015 12:00:00 AM,-114.182937763116,51.0867033273346,"(51.0867033273346, -114.182937763116)",1,,
ROCKY'S BURGERS,1235 26 AV SE,FOOD SERVICE - NO PREMISES,ALYTH/BONNYBROOK,PENDING RENEWAL,02/18/2014 12:00:00 AM,-114.035357593919,51.0300886940841,"(51.0300886940841, -114.035357593919)",1,,
PHIL & SEBASTIAN COFFEE COMPANY (CGY 388),#23 2701 16 ST SE,FOOD SERVICE - NO PREMISES,ALYTH/BONNYBROOK,RENEWAL LICENSED,06/13/2011 12:00:00 AM,-114.022720977436,51.030087099164,"(51.030087099164, -114.022720977436)",1,,
STREETLIGHT MOBILE YOUTH CENTRE,#15 1725 30 AV NE,FOOD SERVICE - NO PREMISES,SOUTH AIRWAYS,RENEWAL LICENSED,04/28/1997 12:00:00 AM,-114.016608984389,51.0792557841807,"(51.0792557841807, -114.016608984389)",1,,
EPI ICE CREAM CGY-811,1155K 44 AV SE,FOOD SERVICE - NO PREMISES,HIGHFIELD,EXPIRED,03/30/2016 12:00:00 AM,-114.038623566265,51.0134304436298,"(51.0134304436298, -114.038623566265)",1,,
RAJ FOODS (THE),#17 2015 32 AV NE,FOOD SERVICE - PREMISES,SOUTH AIRWAYS,PENDING RENEWAL,10/09/2015 12:00:00 AM,-114.010274803475,51.0805090794563,"(51.0805090794563, -114.010274803475)",1,,
TIM HORTON DONUTS,1211 12 AV SW,FOOD SERVICE - PREMISES,BELTLINE,RENEWAL LICENSED,09/09/1997 12:00:00 AM,-114.089418690792,51.0417896291884,"(51.0417896291884, -114.089418690792)",1,,
PLANET ORGANIC MARKET,#6112 8650 112 AV NW,FOOD SERVICE - PREMISES,ROYAL VISTA,RENEWAL LICENSED,10/29/2015 12:00:00 AM,-114.211317136396,51.1529438273982,"(51.1529438273982, -114.211317136396)",1,,
GARNISH + GRACE,3512 5 AV NW,FOOD SERVICE - PREMISES,PARKDALE,RENEWAL LICENSED,11/06/2015 12:00:00 AM,-114.136801792919,51.0604661119765,"(51.0604661119765, -114.136801792919)",1,,
ACTIVE SPORTS THERAPY MANAGEMENT,#220 9950 MACLEOD TR SE,FOOD SERVICE - PREMISES,WILLOW PARK,RENEWAL LICENSED,04/05/2012 12:00:00 AM,-114.06936068662,50.9614921967046,"(50.9614921967046, -114.06936068662)",1,,
MAC'S CONVENIENCE STORE,1207 12 AV SW,FOOD SERVICE - PREMISES,BELTLINE,RENEWAL LICENSED,10/27/2015 12:00:00 AM,-114.089418690792,51.0417896291884,"(51.0417896291884, -114.089418690792)",1,,
MONPLAISIR DELICACIES PRODUCTION,#20 2015 32 AV NE,FOOD SERVICE - PREMISES,SOUTH AIRWAYS,EXPIRED,03/02/2015 12:00:00 AM,-114.010274803475,51.0805090794563,"(51.0805090794563, -114.010274803475)",1,,
FITNESS GROUP CANADA,#12 2015 32 AV NE,FOOD SERVICE - PREMISES,SOUTH AIRWAYS,RENEWAL LICENSED,10/11/2013 12:00:00 AM,-114.010274803475,51.0805090794563,"(51.0805090794563, -114.010274803475)",1,,
CANYON MEADOWS COMMUNITY,844 CANTABRIAN DR SW,FOOD SERVICE - PREMISES,CANYON MEADOWS,RENEWAL LICENSED,01/17/1997 12:00:00 AM,-114.079027367365,50.9463701556439,"(50.9463701556439, -114.079027367365)",1,,
