COMPLEX_NAME,FACILITY_TYPE,TIER,ADDRESS,ORG,TYP_OF_ORG,STEWARD,OPER,LABEL,WEBSITE,PHONE,NOTES,GYM,GYMNAST_FAC,FITNSS_WGHT,FIT_STUDIO,MULTI_PURP_ROOMS,MEET_ROOMS,INDR_POOL,OUTDR_POOL,FW_25M,FW_50M,FW_18M,LANES_POOL,TEACH_POOL,WAVE_POOL,OTHER_POOL,INDR_WAD_POOL,DIVING_TANK,SPRINGBOARD,PLATFORM,DIVE_SLIDE,PLAY_SLIDE,ROPE_SWING,STEAM,HOT_TUB,SAUNA,CLIMB_WALL,TRACK_INDR,OUTDR_WAD_POOL,SPRAY_PARK,ICE_INDR,STAND_ICE,NHL_ICE,OLYMP_ICE,FIG_SKATING,CURL_RNK,CURL_SHEETS,INDR_SURFACE,INDR_TURF,DRY_PAD,RACQFAC_INDR,SQUASH_CRTS,RAQBALL_CRTS,BADMINT_CRTS,TENNIS_CRT,OUTDR_FIELD,ARTF_TURF_OUTDR,DIAM_FAC_OUTDR,TRACK_OUTDR,PUBLIC_GLF,SEMI_PRIV_GLF,HOLE_18,HOLE_9,DRIVERANG_OUTDR,DRIVERANG_INDR,SKI_NORDICTRCK,MUNICPAL_OP,NOTPROFIT_OP,PROFIT_OP,PRIVATE_OP,longitude,latitude,location,,
Crowfoot Arena,Arena,,8080 JOHN LAURIE BV NW,SRG,Not-for-Profit,Parks,Crowfoot Minor Hockey Assoc.,Crowfoot Arena,http://www.crowfootarena.com/,403-241-1818,Ice rink,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,1,0,0,Y,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,N,Y,N,N,-114.195055509817,51.12855089347,"(51.12855089347, -114.195055509817)",,
Valleyview Spray Park,Spray Park,,28 ST SE & 30 AV SE,Parks,Municipal,Parks,Parks,Valleyview Spray Park,https://www.calgary.ca/CSPS/Parks/Pages/Locations/SE-parks/Valleyview-Park.aspx,,,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,Y,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,Y,N,N,-113.994018212921,51.0265060977398,"(51.0265060977398, -113.994018212921)",,
Southwood Skatepark,Skate Park,,11 SACKVILLE DR SW,Parks,Municipal,Parks,Parks,Southwood Skatepark,https://www.calgary.ca/CSPS/Recreation/Pages/Skateparks/Home.aspx?redirect=/skateparks,,,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N,-114.087200343881,50.9560810753955,"(50.9560810753955, -114.087200343881)",,
Inglewood Golf & Curling Club,Golf Course - Semi-Private,,19 GOSLING WY SE,Private,Profit,Parks,Inglewood Golf & Curling Club,Inglewood Golf & Curling Club,http://www.inglewoodgolfclub.ca/,403-272-4363,"18 hole, driving range",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,Y,6,N,0,0,N,0,0,0,0,N,0,N,N,N,Y,Y,N,Y,N,N,N,N,Y,Y,-114.002122662142,51.0326066156029,"(51.0326066156029, -114.002122662142)",,
Big Marlborough Park,Outdoor Skating Rink,,755 MADEIRA DR NE,Parks,Municipal,Parks,Parks,Big Marlborough Park,https://www.calgary.ca/CSPS/Parks/Pages/Locations/NE-parks/Big-Marlborough-Park.aspx,,,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N,-113.945167126546,51.0592901283396,"(51.0592901283396, -113.945167126546)",,
Murray Copot Arena,Arena,,6715 CENTRE ST NW,Recreation,Municipal,Recreation,Recreation,Murray Copot Arena,https://www.calgary.ca/CSPS/Recreation/Pages/Arenas/Murray-Copot.aspx,403-268-2489,185'x85' ice rink (300 seat cap),0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,1,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N,-114.065716270825,51.112836016031,"(51.112836016031, -114.065716270825)",,
Rose Kohn Arena,Arena,,502 HERITAGE DR SW,Recreation,Municipal,Recreation,Recreation,Rose Kohn and Jimmy Condon Arenas,https://www.calgary.ca/CSPS/Recreation/Pages/Arenas/Rose-Kohn-and-Jimmie-Condon.aspx,403-268-2489,"185'x85' ice rink (220 seat cap), 2 meeting rooms",0,N,N,0,0,2,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,1,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N,-114.074894865431,50.9804750315209,"(50.9804750315209, -114.074894865431)",,
Optimist Arena,Arena,,5020 26 AV SW,Recreation,Municipal,Recreation,Recreation,Optimist and George Blundun Arenas,https://www.calgary.ca/CSPS/Recreation/Pages/Arenas/Optimist-and-George-Blundun.aspx,403-268-2489,185'x85' ice rink (300 seat cap) meeting room,0,N,N,0,0,1,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,1,0,0,N,N,0,Y,0,1,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N,-114.160125178871,51.0322952963629,"(51.0322952963629, -114.160125178871)",,
West Hillhurst CA,Arena,,1940 6 AV NW,CA,Not-for-Profit,Recreation,West Hillhurst CA,West Hillhurst CA,http://www.westhillhurst.com/,403-283-0464,"Ice rink / dry pad, gym, fitness/weights, dance studio, 3 squash courts, 3 tennis courts",1,N,Y,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,1,0,0,N,N,0,Y,0,1,Y,3,0,0,3,N,0,N,N,N,N,N,N,N,N,N,N,Y,N,N,-114.104541005349,51.0580742047323,"(51.0580742047323, -114.104541005349)",,
Shaw Millennium Park,Skate Park,,1220 9 AV SW,Parks,Municipal,Parks,Parks,Shaw Millennium Park,https://www.calgary.ca/CSPS/Parks/Pages/Locations/Downtown-parks/Shaw-Millennium-Park.aspx,,,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N,-114.091870726129,51.0461282874336,"(51.0461282874336, -114.091870726129)",,
Prairie Winds Park,Outdoor Skating Rink,,223 CASTLERIDGE BV NE,Parks,Municipal,Parks,Parks,Prairie Winds Park,https://www.calgary.ca/CSPS/Parks/Pages/Locations/NE-parks/Prairie-Winds-Park.aspx,,Closed for renovations,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N,-113.970772630174,51.1046133993436,"(51.1046133993436, -113.970772630174)",,
Riley Park Wading Pool,Outdoor Wading Pool,,800 12 ST NW,Recreation,Municipal,Recreation,Recreation,Riley Park Wading Pool,https://www.calgary.ca/CSPS/Parks/Pages/Locations/NW-parks/Riley-Park.aspx,,,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,Y,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,Y,N,N,-114.089173582526,51.0588546105,"(51.0588546105, -114.089173582526)",,
Canmore Spray Park,Spray Park,,2020 CHICOUTIMI DR SW,Parks,Municipal,Parks,Parks,Canmore Spray Park,https://www.calgary.ca/CSPS/Parks/Pages/Locations/NW-parks/Canmore-Park.aspx,<Null>,,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,Y,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,Y,N,N,-114.109312401341,51.081068674532,"(51.081068674532, -114.109312401341)",,
New Brighton Skatepark,Skate Park,,5801 130 AV SE,Parks,Municipal,Parks,Parks,New Brighton Skatepark,https://www.calgary.ca/CSPS/Recreation/Pages/Skateparks/Home.aspx?redirect=/skateparks,,,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,N,N,N,N,-113.947185818414,50.9283524783775,"(50.9283524783775, -113.947185818414)",,
Variety Park Spray Park,Spray Park,,9035 24 ST SW,Parks,Municipal,Parks,Parks,Variety Park Spray Park,https://www.calgary.ca/CSPS/Parks/Pages/Locations/SW-parks/South-Glenmore-Park.aspx,,,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,Y,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,Y,N,N,-114.121652880372,50.9742674679489,"(50.9742674679489, -114.121652880372)",,
Prairie Winds Park Wading Pool & Spray Park,Outdoor Wading Pool,,223 CASTLERIDGE BV NE,Parks,Municipal,Parks,Parks,Prairie Winds Park Wading Pool & Spray Park,https://www.calgary.ca/CSPS/Parks/Pages/Locations/NE-parks/Prairie-Winds-Park.aspx,,,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,Y,Y,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,Y,N,N,-113.971147374418,51.1037750375539,"(51.1037750375539, -113.971147374418)",,
