id,Address,BuildingAddress,Community,CompletionDate,InspectionDate,PermitNumber,StickerNumber,Ward,longitude,latitude,location,Pick?,Prices,Square footage
4,10 DEERSAXON RD SE,12 DEERSAXON RD SE,DEER RUN,03/20/2017 12:00:00 AM,March 20 2017,BP2017-00237,715,12,-114.018507695132,50.9208589138228,"(50.9208589138228, -114.018507695132)",FALSE,378.111429948643,756.222859897285
2,#2139G 2139 BROADVIEW RD NW,#2139G 2139 BROADVIEW RD NW,WEST HILLHURST,10/25/2013 12:00:00 AM,October 24 2013,BP2012-07431,161,7,-114.110271562928,51.0498061752687,"(51.0498061752687, -114.110271562928)",FALSE,802.76079494138,1605.52158988276
3,10 CITADEL CREST CI NW,10 CITADEL CREST CI NW,CITADEL,11/25/2014 12:00:00 AM,November 25 2014,BP2014-04011,348,2,-114.180876312837,51.1440006804549,"(51.1440006804549, -114.180876312837)",FALSE,796.372132215496,1592.74426443099
0,#1 7068 LAGUNA WY NE,7068 LAGUNA WY NE,MONTEREY PARK,11/11/2012 12:00:00 AM,November 09 2012,BP2012-13271,215,5,-113.92903931482,51.0841590478107,"(51.0841590478107, -113.92903931482)",TRUE,837.066806849619,1674.13361369924
6,1006 8 ST SE,1008 8 ST SE,RAMSAY,05/28/2014 12:00:00 AM,May 27 2014,BP2012-14280,200,9,-114.041762305662,51.0421175573181,"(51.0421175573181, -114.041762305662)",FALSE,624.862601144551,1249.7252022891
88,1221 19 AV NW,1221 19 AV NW,CAPITOL HILL,02/06/2015 12:00:00 AM,February 06 2015,BP2014-12098,415,7,-114.088670364006,51.0694251067499,"(51.0694251067499, -114.088670364006)",FALSE,628.570186559563,1257.14037311913
143,1435R MARDALE DR NE,1435 MARDALE DR NE,MARLBOROUGH,02/14/2017 12:00:00 AM,February 14 2017,BP2016-13661,694,10,-113.965971749948,51.0650092218133,"(51.0650092218133, -113.965971749948)",FALSE,160.290882054383,320.581764108766
102,127 RANCHLANDS CR NW,127 RANCHLANDS CR NW,RANCHLANDS,05/09/2017 12:00:00 AM,May 09 2017,BP2017-01316,748,2,-114.198700586132,51.1218159171229,"(51.1218159171229, -114.198700586132)",FALSE,801.348300259093,1602.69660051819
38,1108B 38 ST SE,1108 38 ST SE,FOREST LAWN,06/16/2017 12:00:00 AM,June 16 2017,BP2017-00804,777,9,-113.978346242287,51.0437404189745,"(51.0437404189745, -113.978346242287)",FALSE,734.798584253145,1469.59716850629
41,1112 38 ST SE,1112 38 ST SE,FOREST LAWN,02/17/2016 12:00:00 AM,December 04 2015,BP2015-12652,449,9,-113.978348235938,51.043593455159,"(51.043593455159, -113.978348235938)",FALSE,474.893750260272,949.787500520543
149,147 RIVERGLEN CR SE,147 RIVERGLEN CR SE,RIVERBEND,07/13/2017 12:00:00 AM,July 13 2017,BP2017-03865,792,9,-114.014097117455,50.9738990885291,"(50.9738990885291, -114.014097117455)",FALSE,182.592462059972,365.184924119945
105,130 SHERWOOD MT NW,130 SHERWOOD MT NW,SHERWOOD,03/20/2015 12:00:00 AM,February 26 2015,BP2014-10944,407,2,-114.158549413032,51.1604417539963,"(51.1604417539963, -114.158549413032)",FALSE,481.114497023871,962.228994047741
101,127 PRESTWICK LD SE,127 PRESTWICK LD SE,MCKENZIE TOWNE,09/16/2016 12:00:00 AM,September 16 2016,BP2015-12991,585,12,-113.966752176349,50.9184915931287,"(50.9184915931287, -113.966752176349)",FALSE,652.444108926594,1304.88821785319
161,1503 46 ST SE,1501 46 ST SE,FOREST LAWN,04/25/2016 12:00:00 AM,April 01 2016,BP2016-01539,502,9,-113.967509071633,51.0407781277128,"(51.0407781277128, -113.967509071633)",FALSE,723.543116475325,1447.08623295065
47,1127 37 ST SE,1127 37 ST SE,FOREST LAWN,04/03/2014 12:00:00 AM,April 02 2014,BP2013-18170,319,9,-113.980475008758,51.0430624555297,"(51.0430624555297, -113.980475008758)",TRUE,111.913413216245,223.826826432491
34,11 BRIGHTONWOODS CR SE,11 BRIGHTONWOODS CR SE,NEW BRIGHTON,03/27/2015 12:00:00 AM,March 27 2015,BP2013-11962,298,12,-113.941397415947,50.9169684898943,"(50.9169684898943, -113.941397415947)",FALSE,769.23962693659,1538.47925387318
45,112 12 ST NW,112 12 ST NW,HILLHURST,08/25/2016 12:00:00 AM,August 25 2016,BP2016-01898,575,7,-114.091316078137,51.0530223511128,"(51.0530223511128, -114.091316078137)",FALSE,667.471965234749,1334.9439304695
160,150 COVEMEADOW CL NE,150 COVEMEADOW CL NE,COVENTRY HILLS,10/09/2015 12:00:00 AM,October 09 2015,BP2013-14957,434,3,-114.061562661307,51.1712655369708,"(51.1712655369708, -114.061562661307)",TRUE,745.318012143301,1490.6360242866
76,12 ROYAL BIRCH HL NW,14 ROYAL BIRCH HL NW,ROYAL OAK,11/08/2016 12:00:00 AM,November 08 2016,BP2016-12125,623,1,-114.218710511368,51.1478481545084,"(51.1478481545084, -114.218710511368)",FALSE,259.272513312808,518.545026625615
31,1089 BRIGHTONCREST CM SE,1089 BRIGHTONCREST CM SE,NEW BRIGHTON,04/23/2015 12:00:00 AM,April 01 2015,BP2014-16984,419,12,-113.947743285134,50.9254858152505,"(50.9254858152505, -113.947743285134)",FALSE,749.721559072631,1499.44311814526
156,1493 COPPERFIELD BV SE,1493 COPPERFIELD BV SE,COPPERFIELD,04/09/2013 12:00:00 AM,April 09 2013,BP2013-00282,238,12,-113.923657016694,50.9145804910611,"(50.9145804910611, -113.923657016694)",FALSE,380.131362027422,760.262724054844
16,104 RIVERBROOK WY SE,104 RIVERBROOK WY SE,RIVERBEND,12/05/2014 12:00:00 AM,November 24 2014,BP2012-03229,137,9,-114.022325912989,50.9770042989576,"(50.9770042989576, -114.022325912989)",FALSE,279.817583964907,559.635167929814
